Afghanistan	Asia/Kabul
Syrian Arab Republic	Asia/Damascus
Taiwan	Asia/Taipei
Taiwan, Province of China	Asia/Taipei
Tajikistan	Asia/Dushanbe
Tanzania	Africa/Dar_es_Salaam
Tanzania, United Republic Of	Africa/Dar_es_Salaam
Thailand	Asia/Bangkok
The Bahamas	America/Nassau
Timor-Leste	Asia/Dili
Togo	Africa/Lome
Tokelau	Pacific/Fakaofo
Tonga	Pacific/Tongatapu
Trinidad and Tobago	America/Port_of_Spain
Tunisia	Africa/Tunis
Turkey	Europe/Istanbul
Turkmenistan	Asia/Ashgabat
Turks and Caicos Islands	America/Grand_Turk
Tuvalu	Pacific/Funafuti
U.S. Virgin Islands	America/St_Thomas
Uganda	Africa/Kampala
Ukraine	Europe/Kiev
United Arab Emirates	Asia/Dubai
United Kingdom	Europe/London
Uruguay	America/Montevideo
Uzbekistan	Asia/Tashkent
Vanuatu	Pacific/Efate
Venezuela	America/Caracas
Venezuela, Bolivarian Republic Of	America/Caracas
Viet Nam	Asia/Ho_Chi_Minh
Vietnam	Asia/Ho_Chi_Minh
Virgin Islands, British	America/Tortola
Virgin Islands, U.s.	America/St_Thomas
Wallis and Futuna	Pacific/Wallis
Western Sahara	Africa/El_Aaiun
Yemen	Asia/Aden
Zambia	Africa/Lusaka
Zimbabwe	Africa/Harare
